age,job,marital,education,balance,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
53,technician,divorced,secondary,989,unknown,5,may,812,1,-1,0,unknown,no
57,blue-collar,married,primary,249,unknown,5,may,164,1,-1,0,unknown,no
33,services,married,secondary,790,unknown,5,may,391,1,-1,0,unknown,no
49,blue-collar,married,unknown,154,unknown,5,may,357,1,-1,0,unknown,no
51,management,married,tertiary,6530,unknown,5,may,91,1,-1,0,unknown,no
60,retired,married,tertiary,100,unknown,5,may,528,1,-1,0,unknown,no
59,management,divorced,tertiary,59,unknown,5,may,273,1,-1,0,unknown,no
55,technician,married,secondary,1205,unknown,5,may,158,2,-1,0,unknown,no
35,blue-collar,single,secondary,12223,unknown,5,may,177,1,-1,0,unknown,no
57,blue-collar,married,secondary,5935,unknown,5,may,258,1,-1,0,unknown,no
31,services,married,secondary,25,unknown,5,may,172,1,-1,0,unknown,no
54,management,married,secondary,282,unknown,5,may,154,1,-1,0,unknown,no
55,blue-collar,married,primary,23,unknown,5,may,291,1,-1,0,unknown,no
43,technician,married,secondary,1937,unknown,5,may,181,1,-1,0,unknown,no
53,technician,married,secondary,384,unknown,5,may,176,1,-1,0,unknown,no
44,blue-collar,married,secondary,582,unknown,5,may,211,1,-1,0,unknown,no
55,services,divorced,secondary,91,unknown,5,may,349,1,-1,0,unknown,no
49,services,divorced,secondary,0,unknown,5,may,272,1,-1,0,unknown,no
55,services,divorced,secondary,1,unknown,5,may,208,1,-1,0,unknown,no
45,admin.,single,secondary,206,unknown,5,may,193,1,-1,0,unknown,no
47,services,divorced,secondary,164,unknown,5,may,212,1,-1,0,unknown,no
42,technician,single,secondary,690,unknown,5,may,20,1,-1,0,unknown,no
59,admin.,married,secondary,2343,unknown,5,may,1042,1,-1,0,unknown,yes
46,self-employed,married,tertiary,137,unknown,5,may,246,1,-1,0,unknown,no
51,blue-collar,married,primary,173,unknown,5,may,529,2,-1,0,unknown,no
56,admin.,married,secondary,45,unknown,5,may,1467,1,-1,0,unknown,yes
41,technician,married,secondary,1270,unknown,5,may,1389,1,-1,0,unknown,yes
46,management,divorced,secondary,16,unknown,5,may,188,2,-1,0,unknown,no
57,retired,married,secondary,486,unknown,5,may,180,2,-1,0,unknown,no
42,management,single,secondary,50,unknown,5,may,48,1,-1,0,unknown,no
30,technician,married,secondary,152,unknown,5,may,213,2,-1,0,unknown,no
60,admin.,married,secondary,290,unknown,5,may,583,1,-1,0,unknown,no
60,blue-collar,married,unknown,54,unknown,5,may,221,1,-1,0,unknown,no
57,entrepreneur,divorced,secondary,-37,unknown,5,may,173,1,-1,0,unknown,no
36,management,married,tertiary,101,unknown,5,may,426,1,-1,0,unknown,no
55,blue-collar,married,secondary,383,unknown,5,may,287,1,-1,0,unknown,no
60,retired,married,tertiary,81,unknown,5,may,101,1,-1,0,unknown,no
39,technician,married,secondary,0,unknown,5,may,203,1,-1,0,unknown,no
46,management,married,tertiary,229,unknown,5,may,197,1,-1,0,unknown,no
44,blue-collar,married,secondary,-674,unknown,5,may,257,1,-1,0,unknown,no
53,blue-collar,married,primary,90,unknown,5,may,124,1,-1,0,unknown,no
52,blue-collar,married,primary,128,unknown,5,may,229,1,-1,0,unknown,no
59,blue-collar,married,primary,179,unknown,5,may,55,3,-1,0,unknown,no
27,technician,single,tertiary,0,unknown,5,may,400,1,-1,0,unknown,no
44,blue-collar,married,secondary,54,unknown,5,may,197,1,-1,0,unknown,no
47,technician,married,tertiary,151,unknown,5,may,190,1,-1,0,unknown,no
34,admin.,married,secondary,61,unknown,5,may,21,1,-1,0,unknown,no
59,retired,single,secondary,30,unknown,5,may,514,1,-1,0,unknown,no
45,management,married,tertiary,523,unknown,5,may,849,2,-1,0,unknown,no
29,services,divorced,secondary,31,unknown,5,may,194,1,-1,0,unknown,no
46,technician,divorced,secondary,79,unknown,5,may,144,1,-1,0,unknown,no
56,self-employed,married,primary,-34,unknown,5,may,212,2,-1,0,unknown,no
36,blue-collar,married,primary,448,unknown,5,may,286,1,-1,0,unknown,no
59,retired,divorced,primary,81,unknown,5,may,107,1,-1,0,unknown,no
44,blue-collar,married,secondary,144,unknown,5,may,247,2,-1,0,unknown,no
41,admin.,married,secondary,351,unknown,5,may,518,1,-1,0,unknown,no
33,management,single,tertiary,-67,unknown,5,may,364,1,-1,0,unknown,no
59,management,divorced,tertiary,262,unknown,5,may,178,1,-1,0,unknown,no
57,technician,married,primary,0,unknown,5,may,98,1,-1,0,unknown,no
56,technician,divorced,unknown,56,unknown,5,may,439,1,-1,0,unknown,no
51,blue-collar,married,secondary,26,unknown,5,may,79,1,-1,0,unknown,no
34,admin.,married,unknown,3,unknown,5,may,120,3,-1,0,unknown,no
43,services,married,secondary,41,unknown,5,may,127,2,-1,0,unknown,no
52,technician,married,tertiary,7,unknown,5,may,175,1,-1,0,unknown,no
33,technician,single,secondary,105,unknown,5,may,262,2,-1,0,unknown,no
29,admin.,single,secondary,818,unknown,5,may,61,1,-1,0,unknown,no
34,services,married,secondary,-16,unknown,5,may,78,1,-1,0,unknown,no
31,blue-collar,married,secondary,0,unknown,5,may,143,1,-1,0,unknown,no
55,services,married,secondary,2476,unknown,5,may,579,1,-1,0,unknown,yes
55,management,married,unknown,1185,unknown,5,may,677,1,-1,0,unknown,no
32,admin.,single,secondary,217,unknown,5,may,345,1,-1,0,unknown,no
38,technician,single,secondary,1685,unknown,5,may,185,1,-1,0,unknown,no
55,admin.,single,secondary,802,unknown,5,may,100,2,-1,0,unknown,no
28,unemployed,single,tertiary,0,unknown,5,may,125,2,-1,0,unknown,no
23,blue-collar,married,secondary,94,unknown,5,may,193,1,-1,0,unknown,no
32,technician,single,secondary,0,unknown,5,may,136,1,-1,0,unknown,no
43,services,single,unknown,0,unknown,5,may,73,1,-1,0,unknown,no
32,blue-collar,married,secondary,517,unknown,5,may,528,1,-1,0,unknown,no
46,blue-collar,married,secondary,265,unknown,5,may,541,1,-1,0,unknown,no
53,housemaid,divorced,primary,947,unknown,5,may,163,1,-1,0,unknown,no
34,self-employed,single,secondary,3,unknown,5,may,301,1,-1,0,unknown,no
57,unemployed,married,tertiary,42,unknown,5,may,46,1,-1,0,unknown,no
37,blue-collar,married,secondary,37,unknown,5,may,204,1,-1,0,unknown,no
59,blue-collar,married,secondary,57,unknown,5,may,98,1,-1,0,unknown,no
33,services,married,secondary,22,unknown,5,may,71,1,-1,0,unknown,no
56,blue-collar,divorced,primary,8,unknown,5,may,157,2,-1,0,unknown,no
48,unemployed,married,secondary,293,unknown,5,may,243,1,-1,0,unknown,no
43,services,married,primary,3,unknown,5,may,186,2,-1,0,unknown,no
54,blue-collar,married,primary,348,unknown,5,may,579,2,-1,0,unknown,no
51,blue-collar,married,unknown,-19,unknown,5,may,163,2,-1,0,unknown,no
26,student,single,secondary,0,unknown,5,may,610,2,-1,0,unknown,no
40,management,married,tertiary,-4,unknown,5,may,2033,1,-1,0,unknown,no
39,management,married,secondary,18,unknown,5,may,85,1,-1,0,unknown,no
50,technician,married,primary,139,unknown,5,may,114,2,-1,0,unknown,no
41,services,married,secondary,0,unknown,5,may,114,2,-1,0,unknown,no
51,blue-collar,married,unknown,1883,unknown,5,may,57,1,-1,0,unknown,no
60,retired,divorced,secondary,216,unknown,5,may,238,1,-1,0,unknown,no
52,blue-collar,married,secondary,782,unknown,5,may,93,3,-1,0,unknown,no
48,blue-collar,married,secondary,904,unknown,5,may,128,2,-1,0,unknown,no
48,services,married,unknown,1705,unknown,5,may,107,1,-1,0,unknown,no
39,technician,single,tertiary,47,unknown,5,may,181,1,-1,0,unknown,no
47,services,single,secondary,176,unknown,5,may,303,2,-1,0,unknown,no
40,blue-collar,married,secondary,1225,unknown,5,may,558,5,-1,0,unknown,no
45,technician,married,secondary,86,unknown,5,may,270,1,-1,0,unknown,no
26,admin.,single,secondary,82,unknown,5,may,228,1,-1,0,unknown,no
52,management,married,tertiary,271,unknown,5,may,99,1,-1,0,unknown,no
54,technician,married,secondary,1378,unknown,5,may,240,1,-1,0,unknown,no
54,admin.,married,tertiary,184,unknown,5,may,673,2,-1,0,unknown,yes
50,blue-collar,married,primary,0,unknown,5,may,233,3,-1,0,unknown,no
35,blue-collar,married,secondary,0,unknown,5,may,1056,1,-1,0,unknown,no
44,services,married,secondary,1357,unknown,5,may,250,1,-1,0,unknown,no
53,entrepreneur,married,unknown,19,unknown,5,may,252,1,-1,0,unknown,no
35,retired,single,primary,434,unknown,5,may,138,1,-1,0,unknown,no
60,admin.,divorced,secondary,92,unknown,5,may,130,1,-1,0,unknown,no
53,admin.,divorced,secondary,1151,unknown,5,may,412,1,-1,0,unknown,no
48,unemployed,married,secondary,41,unknown,5,may,179,2,-1,0,unknown,no
34,technician,married,secondary,51,unknown,5,may,19,2,-1,0,unknown,no
54,services,married,secondary,214,unknown,5,may,458,2,-1,0,unknown,no
51,management,married,secondary,1161,unknown,5,may,717,1,-1,0,unknown,no
31,services,married,tertiary,37,unknown,5,may,313,1,-1,0,unknown,no
35,technician,divorced,secondary,787,unknown,5,may,683,2,-1,0,unknown,no
35,services,married,secondary,59,unknown,5,may,1077,1,-1,0,unknown,no
38,technician,married,secondary,253,unknown,5,may,416,1,-1,0,unknown,no
36,admin.,married,tertiary,211,unknown,5,may,146,2,-1,0,unknown,no
58,retired,married,primary,235,unknown,5,may,167,1,-1,0,unknown,no
40,services,divorced,unknown,4384,unknown,5,may,315,1,-1,0,unknown,no
54,management,married,secondary,4080,unknown,5,may,140,1,-1,0,unknown,no
34,blue-collar,single,secondary,53,unknown,5,may,346,1,-1,0,unknown,no
31,management,single,tertiary,0,unknown,5,may,562,1,-1,0,unknown,no
51,retired,married,secondary,2127,unknown,5,may,172,1,-1,0,unknown,no
33,management,married,tertiary,377,unknown,5,may,217,1,-1,0,unknown,no
55,management,married,tertiary,73,unknown,5,may,142,2,-1,0,unknown,no
42,admin.,married,secondary,445,unknown,5,may,67,1,-1,0,unknown,no
34,blue-collar,married,secondary,243,unknown,5,may,291,1,-1,0,unknown,no
33,blue-collar,single,secondary,307,unknown,5,may,309,2,-1,0,unknown,no
38,services,married,secondary,155,unknown,5,may,248,1,-1,0,unknown,no
50,technician,divorced,tertiary,173,unknown,5,may,98,1,-1,0,unknown,no
43,management,married,tertiary,400,unknown,5,may,256,1,-1,0,unknown,no
61,blue-collar,divorced,primary,1428,unknown,5,may,82,2,-1,0,unknown,no
47,admin.,married,secondary,219,unknown,5,may,577,1,-1,0,unknown,no
48,self-employed,married,tertiary,7,unknown,5,may,286,1,-1,0,unknown,no
44,blue-collar,married,secondary,575,unknown,5,may,477,1,-1,0,unknown,no
35,student,single,unknown,298,unknown,5,may,611,2,-1,0,unknown,no
35,services,married,secondary,0,unknown,5,may,471,1,-1,0,unknown,no
50,services,married,secondary,5699,unknown,5,may,381,2,-1,0,unknown,no
41,management,married,tertiary,176,unknown,5,may,42,1,-1,0,unknown,no
41,management,married,tertiary,517,unknown,5,may,251,1,-1,0,unknown,no
39,services,single,unknown,257,unknown,5,may,408,1,-1,0,unknown,no
42,retired,married,secondary,56,unknown,5,may,215,1,-1,0,unknown,no
38,blue-collar,married,secondary,-390,unknown,5,may,287,1,-1,0,unknown,no
53,retired,married,secondary,330,unknown,5,may,216,2,-1,0,unknown,no
59,housemaid,divorced,primary,195,unknown,5,may,366,2,-1,0,unknown,no
36,services,married,secondary,301,unknown,5,may,210,1,-1,0,unknown,no
54,blue-collar,married,primary,-41,unknown,5,may,288,1,-1,0,unknown,no
40,technician,married,tertiary,483,unknown,5,may,168,1,-1,0,unknown,no
47,unknown,married,unknown,28,unknown,5,may,338,2,-1,0,unknown,no
53,unemployed,married,unknown,13,unknown,5,may,410,3,-1,0,unknown,no
46,housemaid,married,primary,965,unknown,5,may,177,1,-1,0,unknown,no
39,management,married,tertiary,378,unknown,5,may,127,2,-1,0,unknown,no
40,unemployed,married,secondary,219,unknown,5,may,357,1,-1,0,unknown,no
28,blue-collar,married,primary,324,unknown,5,may,175,1,-1,0,unknown,no
35,entrepreneur,divorced,secondary,-69,unknown,5,may,300,1,-1,0,unknown,no
55,retired,married,secondary,0,unknown,5,may,136,1,-1,0,unknown,no
43,technician,divorced,unknown,205,unknown,5,may,1419,1,-1,0,unknown,no
48,blue-collar,married,primary,278,unknown,5,may,125,2,-1,0,unknown,no
58,management,married,unknown,1065,unknown,5,may,213,3,-1,0,unknown,no
33,management,single,tertiary,34,unknown,5,may,27,1,-1,0,unknown,no
36,blue-collar,married,unknown,1033,unknown,5,may,238,2,-1,0,unknown,no
53,services,divorced,secondary,1467,unknown,5,may,124,1,-1,0,unknown,no
47,blue-collar,married,primary,-12,unknown,5,may,18,1,-1,0,unknown,no
31,services,married,secondary,388,unknown,5,may,730,2,-1,0,unknown,no
57,entrepreneur,married,secondary,294,unknown,5,may,746,2,-1,0,unknown,no
53,blue-collar,married,unknown,1827,unknown,5,may,121,1,-1,0,unknown,no
55,blue-collar,married,primary,627,unknown,5,may,247,1,-1,0,unknown,no
45,blue-collar,married,primary,25,unknown,5,may,40,1,-1,0,unknown,no
53,admin.,divorced,secondary,315,unknown,5,may,181,2,-1,0,unknown,no
37,blue-collar,married,primary,0,unknown,5,may,79,1,-1,0,unknown,no
44,admin.,divorced,secondary,66,unknown,5,may,206,1,-1,0,unknown,no
49,blue-collar,divorced,primary,-9,unknown,5,may,389,1,-1,0,unknown,no
46,technician,married,secondary,349,unknown,5,may,127,1,-1,0,unknown,no
43,entrepreneur,married,unknown,100,unknown,5,may,702,1,-1,0,unknown,no
38,admin.,married,secondary,0,unknown,5,may,151,1,-1,0,unknown,no
43,technician,married,secondary,434,unknown,5,may,117,1,-1,0,unknown,no
49,management,married,tertiary,3237,unknown,5,may,232,3,-1,0,unknown,no
42,management,married,unknown,275,unknown,5,may,408,2,-1,0,unknown,no
22,blue-collar,single,secondary,0,unknown,5,may,179,2,-1,0,unknown,no
40,management,married,tertiary,207,unknown,5,may,39,1,-1,0,unknown,no
39,blue-collar,married,secondary,483,unknown,5,may,282,1,-1,0,unknown,no
51,services,married,secondary,2248,unknown,5,may,714,2,-1,0,unknown,no
49,admin.,married,secondary,428,unknown,5,may,50,1,-1,0,unknown,no
53,blue-collar,married,secondary,0,unknown,5,may,181,1,-1,0,unknown,no
34,services,single,secondary,0,unknown,5,may,142,1,-1,0,unknown,no
33,technician,divorced,secondary,140,unknown,5,may,227,1,-1,0,unknown,no
50,management,single,tertiary,297,unknown,5,may,119,1,-1,0,unknown,no
39,blue-collar,married,primary,279,unknown,5,may,361,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,901,unknown,5,may,73,3,-1,0,unknown,no
30,technician,single,secondary,2573,unknown,5,may,67,2,-1,0,unknown,no
36,services,married,secondary,143,unknown,5,may,350,1,-1,0,unknown,no
40,blue-collar,married,secondary,475,unknown,5,may,332,2,-1,0,unknown,no
53,blue-collar,married,secondary,70,unknown,5,may,611,2,-1,0,unknown,no
34,management,single,tertiary,318,unknown,5,may,113,2,-1,0,unknown,no
37,technician,married,secondary,275,unknown,5,may,132,1,-1,0,unknown,no
42,management,divorced,tertiary,742,unknown,5,may,58,3,-1,0,unknown,no
41,entrepreneur,married,primary,236,unknown,5,may,151,1,-1,0,unknown,no
30,student,single,tertiary,25,unknown,5,may,89,2,-1,0,unknown,no
37,management,single,tertiary,600,unknown,5,may,152,1,-1,0,unknown,no
39,admin.,divorced,secondary,-349,unknown,5,may,611,2,-1,0,unknown,no
41,blue-collar,married,primary,183,unknown,5,may,110,2,-1,0,unknown,no
40,blue-collar,married,primary,0,unknown,5,may,463,1,-1,0,unknown,no
42,management,single,tertiary,0,unknown,5,may,562,2,-1,0,unknown,yes
40,blue-collar,divorced,primary,0,unknown,5,may,962,1,-1,0,unknown,no
57,technician,married,secondary,1078,unknown,5,may,10,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,155,unknown,5,may,118,3,-1,0,unknown,no
37,admin.,married,secondary,190,unknown,5,may,92,2,-1,0,unknown,no
59,retired,married,secondary,319,unknown,5,may,143,3,-1,0,unknown,no
39,services,divorced,secondary,-185,unknown,5,may,189,3,-1,0,unknown,no
49,services,married,secondary,47,unknown,5,may,234,2,-1,0,unknown,no
38,services,single,secondary,570,unknown,5,may,75,2,-1,0,unknown,no
36,self-employed,married,tertiary,19,unknown,5,may,189,2,-1,0,unknown,no
50,blue-collar,married,primary,61,unknown,5,may,621,3,-1,0,unknown,no
41,admin.,married,secondary,-62,unknown,5,may,55,2,-1,0,unknown,no
54,technician,married,tertiary,258,unknown,5,may,310,4,-1,0,unknown,no
58,blue-collar,married,primary,76,unknown,5,may,156,2,-1,0,unknown,no
30,blue-collar,single,secondary,0,unknown,5,may,5,2,-1,0,unknown,no
33,admin.,single,secondary,352,unknown,5,may,225,2,-1,0,unknown,no
47,admin.,married,secondary,368,unknown,5,may,125,2,-1,0,unknown,no
50,technician,single,tertiary,339,unknown,5,may,2,3,-1,0,unknown,no
32,blue-collar,married,secondary,1331,unknown,5,may,286,2,-1,0,unknown,no
40,self-employed,married,secondary,672,unknown,5,may,164,2,-1,0,unknown,no
37,management,married,tertiary,58,unknown,5,may,98,2,-1,0,unknown,no
54,technician,single,unknown,447,unknown,5,may,742,2,-1,0,unknown,no
24,student,single,secondary,423,unknown,5,may,226,3,-1,0,unknown,no
54,management,married,tertiary,0,unknown,5,may,120,2,-1,0,unknown,no
34,technician,married,secondary,19,unknown,5,may,362,4,-1,0,unknown,no
56,technician,divorced,primary,13,unknown,5,may,357,2,-1,0,unknown,no
31,blue-collar,single,secondary,3,unknown,5,may,200,2,-1,0,unknown,no
24,student,single,secondary,82,unknown,5,may,204,2,-1,0,unknown,no
42,blue-collar,divorced,primary,28,unknown,5,may,126,3,-1,0,unknown,no
57,technician,married,secondary,792,unknown,5,may,65,2,-1,0,unknown,no
42,blue-collar,married,unknown,408,unknown,5,may,107,2,-1,0,unknown,no
51,admin.,married,secondary,531,unknown,5,may,267,2,-1,0,unknown,no
57,retired,married,secondary,211,unknown,5,may,248,2,-1,0,unknown,no
36,services,single,secondary,62,unknown,5,may,215,2,-1,0,unknown,no
53,services,married,unknown,257,unknown,5,may,209,2,-1,0,unknown,no
50,technician,married,secondary,1234,unknown,5,may,205,2,-1,0,unknown,no
54,management,married,tertiary,313,unknown,5,may,83,2,-1,0,unknown,no
55,blue-collar,married,secondary,89,unknown,5,may,106,3,-1,0,unknown,no
44,blue-collar,married,secondary,129,unknown,5,may,189,2,-1,0,unknown,no
43,management,married,unknown,0,unknown,5,may,105,2,-1,0,unknown,no
56,admin.,married,secondary,353,unknown,5,may,106,2,-1,0,unknown,no
54,technician,married,unknown,851,unknown,5,may,108,2,-1,0,unknown,no
55,services,divorced,primary,96,unknown,5,may,311,2,-1,0,unknown,no
37,services,divorced,secondary,398,unknown,5,may,214,2,-1,0,unknown,no
33,admin.,single,tertiary,193,unknown,5,may,132,2,-1,0,unknown,no
46,admin.,married,secondary,-358,unknown,5,may,358,2,-1,0,unknown,no
36,blue-collar,married,secondary,539,unknown,5,may,453,2,-1,0,unknown,no
51,technician,single,secondary,0,unknown,5,may,364,2,-1,0,unknown,no
40,retired,single,primary,0,unknown,5,may,136,2,-1,0,unknown,no
42,blue-collar,married,secondary,490,unknown,5,may,386,2,-1,0,unknown,no
51,blue-collar,married,secondary,0,unknown,5,may,173,2,-1,0,unknown,no
49,blue-collar,married,unknown,403,unknown,5,may,241,2,-1,0,unknown,no
48,management,married,secondary,161,unknown,5,may,224,3,-1,0,unknown,no
32,technician,divorced,tertiary,2558,unknown,5,may,148,2,-1,0,unknown,no
31,admin.,single,secondary,98,unknown,5,may,196,2,-1,0,unknown,no
55,management,single,tertiary,115,unknown,5,may,111,4,-1,0,unknown,no
40,blue-collar,single,secondary,436,unknown,5,may,231,3,-1,0,unknown,no
47,technician,married,tertiary,831,unknown,5,may,316,3,-1,0,unknown,no
57,technician,married,unknown,206,unknown,5,may,216,3,-1,0,unknown,no
41,blue-collar,married,secondary,290,unknown,5,may,240,2,-1,0,unknown,no
48,blue-collar,married,secondary,1,unknown,5,may,669,3,-1,0,unknown,no
42,blue-collar,married,unknown,57,unknown,5,may,425,2,-1,0,unknown,no
30,blue-collar,single,secondary,-457,unknown,5,may,143,2,-1,0,unknown,no
58,management,single,tertiary,1387,unknown,5,may,174,5,-1,0,unknown,no
45,management,divorced,tertiary,24598,unknown,5,may,313,3,-1,0,unknown,no
49,blue-collar,married,secondary,30,unknown,5,may,135,4,-1,0,unknown,no
42,admin.,single,secondary,1022,unknown,5,may,146,2,-1,0,unknown,no
53,technician,married,secondary,56,unknown,5,may,152,2,-1,0,unknown,no
51,admin.,single,secondary,-2,unknown,5,may,402,3,-1,0,unknown,no
32,services,single,secondary,121,unknown,5,may,213,2,-1,0,unknown,no
41,blue-collar,single,secondary,842,unknown,5,may,144,3,-1,0,unknown,no
43,management,divorced,secondary,693,unknown,5,may,124,3,-1,0,unknown,no
40,blue-collar,divorced,secondary,-333,unknown,5,may,183,2,-1,0,unknown,no
50,blue-collar,married,primary,1533,unknown,5,may,325,2,-1,0,unknown,no
34,management,married,tertiary,46,unknown,5,may,39,4,-1,0,unknown,no
53,services,married,unknown,18,unknown,5,may,503,2,-1,0,unknown,no
45,technician,married,secondary,44,unknown,5,may,95,4,-1,0,unknown,no
39,blue-collar,married,primary,-100,unknown,5,may,680,2,-1,0,unknown,no
44,services,married,tertiary,510,unknown,5,may,421,4,-1,0,unknown,no
55,management,married,tertiary,685,unknown,5,may,174,3,-1,0,unknown,no
46,management,single,tertiary,187,unknown,5,may,113,2,-1,0,unknown,no
45,blue-collar,married,secondary,66,unknown,5,may,808,2,-1,0,unknown,no
34,admin.,married,secondary,560,unknown,5,may,198,3,-1,0,unknown,no
36,blue-collar,married,secondary,0,unknown,5,may,195,2,-1,0,unknown,no
59,unknown,divorced,unknown,27,unknown,5,may,347,3,-1,0,unknown,no
31,admin.,single,secondary,12,unknown,5,may,208,2,-1,0,unknown,no
44,blue-collar,single,secondary,34,unknown,5,may,404,4,-1,0,unknown,no
33,entrepreneur,single,tertiary,1068,unknown,5,may,396,2,-1,0,unknown,no
40,blue-collar,married,secondary,211,unknown,5,may,216,4,-1,0,unknown,no
46,admin.,single,tertiary,377,unknown,5,may,98,2,-1,0,unknown,no
48,management,married,tertiary,263,unknown,5,may,350,2,-1,0,unknown,no
42,services,married,secondary,1263,unknown,6,may,114,2,-1,0,unknown,no
27,services,married,secondary,8,unknown,6,may,88,3,-1,0,unknown,no
48,admin.,married,secondary,126,unknown,6,may,379,2,-1,0,unknown,no
59,admin.,married,secondary,230,unknown,6,may,190,3,-1,0,unknown,no
46,technician,married,tertiary,841,unknown,6,may,158,1,-1,0,unknown,no
38,admin.,divorced,secondary,308,unknown,6,may,102,1,-1,0,unknown,no
43,management,divorced,tertiary,1,unknown,6,may,306,1,-1,0,unknown,no
38,admin.,divorced,tertiary,86,unknown,6,may,218,1,-1,0,unknown,no
23,student,single,secondary,157,unknown,6,may,54,1,-1,0,unknown,no
34,services,married,secondary,22,unknown,6,may,344,1,-1,0,unknown,no
